"DATE","VALUE","fossil","sales","sectors","Value_F","Iron_Steel_Products","Combined_Transportation"
"2015-01-01 00:00:00","186.03","238.361","249.385","147.916","33.08","77.26","122.1"
"2015-02-01 00:00:00","177.11","225.763","229.32","147.5","32.99","72.23","121.5"
"2015-03-01 00:00:00","161.23","210.907","224.963","148.657","45.39","69.51","122.6"
"2015-04-01 00:00:00","138.92","184.552","194.367","148.387","53.22","70.89","121.9"
"2015-05-01 00:00:00","158.66","209.248","204.567","148.055","60.82","70.91","121.9"
"2015-06-01 00:00:00","189.48","250.22","239.57","148.728","71.33","75.76","122"
"2015-07-01 00:00:00","213.22","283.88","274.542","149.282","73.89","75.14","123.3"
"2015-08-01 00:00:00","207.75","277.215","273.034","148.56","72.91","72.46","123.3"
"2015-09-01 00:00:00","182.92","244.341","247.612","148.915","68.5","72.17","123.5"
"2015-10-01 00:00:00","155.45","209.547","212.17","149.216","57.24","71.86","123.5"
"2015-11-01 00:00:00","142.37","192.208","196.818","148.544","44.58","67.15","122"
"2015-12-01 00:00:00","148.92","202.194","218.499","149.835","38.64","67.27","122.2"
"2016-01-01 00:00:00","172.11","227.06","241.382","149.158","32.22","68.77","123"
"2016-02-01 00:00:00","145.89","194.664","219.411","148.963","39.47","70.74","122.8"
"2016-03-01 00:00:00","129.25","179.104","205.966","150.355","47.48","71.64","121.6"
"2016-04-01 00:00:00","126.29","174.058","190.289","149.34","53.19","71.45","123.5"
"2016-05-01 00:00:00","141.79","195.225","202.635","149.976","60.31","73.05","123.2"
"2016-06-01 00:00:00","185.63","250.577","245.574","150.311","71.74","73.27","124"
"2016-07-01 00:00:00","216.08","291.431","284.447","150.065","75.2","70.69","125"
"2016-08-01 00:00:00","217.07","293.961","291.461","150.433","73.51","70.24","123.8"
"2016-09-01 00:00:00","180.49","242.767","252.856","150.429","67.1","68.13","123.5"
"2016-10-01 00:00:00","153.9","204.577","214.471","150.361","57.7","66.62","123.6"
"2016-11-01 00:00:00","137.71","183.773","198.304","150.334","47.95","69.56","124.2"
"2016-12-01 00:00:00","169.55","218.235","231.453","150.936","32.95","72.43","125.1"
"2017-01-01 00:00:00","165.81","214.087","238.7","151.095","33.57","74.81","125.2"
