"month","avg_value_pre_pandemic","avg_value_post_pandemic","avg_value_all","difference_post_vs_pre","difference_all_vs_pre","difference_all_vs_post"
"1","174.21","147.29","162.24","-26.92","-11.97","14.95"
"2","146.07","130.96","139.36","-15.11","-6.71","8.40"
"3","142.34","122.20","133.39","-20.14","-8.95","11.19"
"4","127.93","109.39","119.69","-18.54","-8.24","10.30"
"5","146.15","123.28","135.99","-22.87","-10.16","12.71"
"6","174.18","154.33","165.36","-19.85","-8.82","11.03"
"7","206.26","189.52","198.82","-16.74","-7.44","9.30"
"8","201.85","188.60","195.96","-13.25","-5.89","7.36"
"9","172.80","150.23","162.77","-22.57","-10.03","12.54"
"10","149.74","130.91","141.37","-18.83","-8.37","10.46"
"11","142.55","124.79","134.65","-17.76","-7.90","9.86"
"12","157.77","141.74","150.64","-16.03","-7.13","8.90"
