DATE,CAPUTLG3311A2S
1972-01-01,69.8021
1972-02-01,73.2006
1972-03-01,78.378
1972-04-01,81.3589
1972-05-01,81.9767
1972-06-01,80.7943
1972-07-01,78.0431
1972-08-01,81.1632
1972-09-01,82.1305
1972-10-01,82.9268
1972-11-01,85.3156
1972-12-01,88.9167
1973-01-01,89.8385
1973-02-01,92.0215
1973-03-01,90.8213
1973-04-01,88.556
1973-05-01,93.2421
1973-06-01,91.7376
1973-07-01,93.8988
1973-08-01,97.3642
1973-09-01,96.4481
1973-10-01,97.5516
1973-11-01,100.7229
1973-12-01,106.7914
1974-01-01,104.8407
1974-02-01,101.3451
1974-03-01,98.1406
1974-04-01,100.4667
1974-05-01,100.739
1974-06-01,103.7979
1974-07-01,106.694
1974-08-01,103.0683
1974-09-01,104.1822
1974-10-01,105.3664
1974-11-01,98.8435
1974-12-01,91.5183
1975-01-01,93.9571
1975-02-01,94.9325
1975-03-01,94.5678
1975-04-01,81.9641
1975-05-01,71.0898
1975-06-01,69.9782
1975-07-01,67.2994
1975-08-01,66.8859
1975-09-01,71.585
1975-10-01,68.4627
1975-11-01,69.5005
1975-12-01,69.6814
1976-01-01,73.6233
1976-02-01,79.6493
1976-03-01,78.7729
1976-04-01,80.6061
1976-05-01,81.5883
1976-06-01,83.5777
1976-07-01,83.5648
1976-08-01,82.2212
1976-09-01,79.2392
1976-10-01,75.5149
1976-11-01,73.9673
1976-12-01,71.6934
1977-01-01,67.4673
1977-02-01,71.8169
1977-03-01,76.3297
1977-04-01,78.7828
1977-05-01,82.3447
1977-06-01,80.3558
1977-07-01,78.1709
1977-08-01,81.189
1977-09-01,76.5748
1977-10-01,76.7523
1977-11-01,76.1584
1977-12-01,76.7103
1978-01-01,77.1476
1978-02-01,73.6635
1978-03-01,74.0373
1978-04-01,76.9561
1978-05-01,82.5551
1978-06-01,83.8701
1978-07-01,86.1025
1978-08-01,86.3489
1978-09-01,89.6464
1978-10-01,90.1907
1978-11-01,91.6305
1978-12-01,92.5587
1979-01-01,83.3999
1979-02-01,85.7727
1979-03-01,87.0992
1979-04-01,88.6406
1979-05-01,89.4622
1979-06-01,93.9675
1979-07-01,93.0757
1979-08-01,90.4717
1979-09-01,89.6058
1979-10-01,88.1419
1979-11-01,88.3939
1979-12-01,86.847
1980-01-01,89.3665
1980-02-01,87.7709
1980-03-01,90.3579
1980-04-01,84.2089
1980-05-01,73.0241
1980-06-01,64.8095
1980-07-01,57.9961
1980-08-01,61.2608
1980-09-01,65.9549
1980-10-01,78.971
1980-11-01,88.8588
1980-12-01,87.5419
1981-01-01,86.089
1981-02-01,86.9519
1981-03-01,84.5352
1981-04-01,83.6913
1981-05-01,83.8433
1981-06-01,82.2972
1981-07-01,81.8507
1981-08-01,84.6946
1981-09-01,82.5658
1981-10-01,75.4256
1981-11-01,70.9757
1981-12-01,66.6412
1982-01-01,64.7899
1982-02-01,61.2816
1982-03-01,59.5504
1982-04-01,54.7628
1982-05-01,51.1084
1982-06-01,50.3424
1982-07-01,49.3055
1982-08-01,47.3066
1982-09-01,48.0082
1982-10-01,42.9981
1982-11-01,38.2817
1982-12-01,38.0092
1983-01-01,44.9025
1983-02-01,47.1718
1983-03-01,49.9005
1983-04-01,50.7722
1983-05-01,52.1401
1983-06-01,53.2795
1983-07-01,52.7862
1983-08-01,56.1791
1983-09-01,57.5084
1983-10-01,63.5133
1983-11-01,60.4953
1983-12-01,56.1129
1984-01-01,61.185
1984-02-01,65.2646
1984-03-01,65.5906
1984-04-01,65.6834
1984-05-01,69.4962
1984-06-01,66.6187
1984-07-01,66.5186
1984-08-01,63.5278
1984-09-01,57.2537
1984-10-01,59.9432
1984-11-01,61.2222
1984-12-01,59.8075
1985-01-01,61.2756
1985-02-01,61.237
1985-03-01,61.9529
1985-04-01,63.5834
1985-05-01,60.1695
1985-06-01,61.273
1985-07-01,60.367
1985-08-01,61.5142
1985-09-01,61.5811
1985-10-01,63.3175
1985-11-01,65.1809
1985-12-01,65.227
1986-01-01,67.1579
1986-02-01,65.988
1986-03-01,63.4484
1986-04-01,65.3341
1986-05-01,64.8241
1986-06-01,62.9282
1986-07-01,65.058
1986-08-01,62.1562
1986-09-01,62.1863
1986-10-01,63.1146
1986-11-01,68.0766
1986-12-01,64.9827
1987-01-01,56.5778
1987-02-01,64.9783
1987-03-01,67.8393
1987-04-01,72.6436
1987-05-01,73.9357
1987-06-01,79.2152
1987-07-01,77.1956
1987-08-01,81.0422
1987-09-01,83.6526
1987-10-01,87.0602
1987-11-01,85.392
1987-12-01,97.1972
1988-01-01,89.9976
1988-02-01,88.8659
1988-03-01,89.0934
1988-04-01,87.9441
1988-05-01,90.6258
1988-06-01,86.0649
1988-07-01,90.5553
1988-08-01,87.4617
1988-09-01,89.7435
1988-10-01,86.4489
1988-11-01,88.543
1988-12-01,87.7532
1989-01-01,97.4782
1989-02-01,82.0259
1989-03-01,90.4299
1989-04-01,89.0478
1989-05-01,86.4798
1989-06-01,86.0338
1989-07-01,84.016
1989-08-01,82.9719
1989-09-01,82.2042
1989-10-01,85.1333
1989-11-01,80.7045
1989-12-01,77.4619
1990-01-01,80.7616
1990-02-01,83.3352
1990-03-01,82.7401
1990-04-01,83.9017
1990-05-01,84.3632
1990-06-01,86.1029
1990-07-01,79.0896
1990-08-01,94.3783
1990-09-01,85.0815
1990-10-01,84.4361
1990-11-01,86.1385
1990-12-01,79.2831
1991-01-01,74.4742
1991-02-01,73.0163
1991-03-01,71.0682
1991-04-01,71.3658
1991-05-01,72.3926
1991-06-01,73.7472
1991-07-01,76.6864
1991-08-01,75.6642
1991-09-01,79.3655
1991-10-01,77.8657
1991-11-01,80.8789
1991-12-01,77.8006
1992-01-01,80.0207
1992-02-01,78.4709
1992-03-01,81.6994
1992-04-01,80.3657
1992-05-01,79.7558
1992-06-01,79.5611
1992-07-01,81.8428
1992-08-01,80.9176
1992-09-01,79.0315
1992-10-01,81.6535
1992-11-01,80.6221
1992-12-01,82.498
1993-01-01,85.6086
1993-02-01,85.9107
1993-03-01,85.0238
1993-04-01,84.8076
1993-05-01,85.0206
1993-06-01,89.0874
1993-07-01,86.6716
1993-08-01,89.6473
1993-09-01,89.0032
1993-10-01,88.4111
1993-11-01,90.3533
1993-12-01,92.2635
1994-01-01,86.0863
1994-02-01,92.2864
1994-03-01,91.1438
1994-04-01,96.5252
1994-05-01,97.1579
1994-06-01,91.958
1994-07-01,93.8043
1994-08-01,86.074
1994-09-01,91.9685
1994-10-01,94.2791
1994-11-01,93.8068
1994-12-01,97.7614
1995-01-01,97.0672
1995-02-01,95.4862
1995-03-01,94.3521
1995-04-01,91.552
1995-05-01,90.7659
1995-06-01,90.4845
1995-07-01,86.3523
1995-08-01,90.0502
1995-09-01,94.9123
1995-10-01,88.0632
1995-11-01,95.8494
1995-12-01,91.2496
1996-01-01,91.7233
1996-02-01,89.447
1996-03-01,92.0173
1996-04-01,90.7859
1996-05-01,91.2594
1996-06-01,93.7315
1996-07-01,92.156
1996-08-01,91.7348
1996-09-01,90.6674
1996-10-01,91.9394
1996-11-01,89.2369
1996-12-01,89.1672
1997-01-01,89.0334
1997-02-01,89.8987
1997-03-01,86.604
1997-04-01,90.3744
1997-05-01,89.6916
1997-06-01,89.6362
1997-07-01,89.9178
1997-08-01,88.3426
1997-09-01,92.5225
1997-10-01,93.4212
1997-11-01,94.0803
1997-12-01,93.474
1998-01-01,93.2715
1998-02-01,95.3293
1998-03-01,91.7846
1998-04-01,90.2573
1998-05-01,89.0465
