DATE,WHLSLRIRSA
1992-01-01,1.32
1992-02-01,1.31
1992-03-01,1.31
1992-04-01,1.31
1992-05-01,1.31
1992-06-01,1.32
1992-07-01,1.29
1992-08-01,1.31
1992-09-01,1.30
1992-10-01,1.30
1992-11-01,1.30
1992-12-01,1.33
1993-01-01,1.29
1993-02-01,1.29
1993-03-01,1.33
1993-04-01,1.30
1993-05-01,1.28
1993-06-01,1.31
1993-07-01,1.29
1993-08-01,1.30
1993-09-01,1.31
1993-10-01,1.30
1993-11-01,1.30
1993-12-01,1.34
1994-01-01,1.30
1994-02-01,1.31
1994-03-01,1.28
1994-04-01,1.29
1994-05-01,1.30
1994-06-01,1.29
1994-07-01,1.29
1994-08-01,1.27
1994-09-01,1.28
1994-10-01,1.27
1994-11-01,1.28
1994-12-01,1.27
1995-01-01,1.28
1995-02-01,1.27
1995-03-01,1.30
1995-04-01,1.30
1995-05-01,1.30
1995-06-01,1.29
1995-07-01,1.31
1995-08-01,1.30
1995-09-01,1.30
1995-10-01,1.30
1995-11-01,1.29
1995-12-01,1.28
1996-01-01,1.30
1996-02-01,1.29
1996-03-01,1.28
1996-04-01,1.29
1996-05-01,1.29
1996-06-01,1.28
1996-07-01,1.27
1996-08-01,1.26
1996-09-01,1.25
1996-10-01,1.25
1996-11-01,1.24
1996-12-01,1.25
1997-01-01,1.25
1997-02-01,1.22
1997-03-01,1.24
1997-04-01,1.25
1997-05-01,1.25
1997-06-01,1.27
1997-07-01,1.26
1997-08-01,1.27
1997-09-01,1.26
1997-10-01,1.27
1997-11-01,1.28
1997-12-01,1.30
1998-01-01,1.29
1998-02-01,1.30
1998-03-01,1.30
1998-04-01,1.30
1998-05-01,1.31
1998-06-01,1.32
1998-07-01,1.31
1998-08-01,1.33
1998-09-01,1.33
1998-10-01,1.33
1998-11-01,1.33
1998-12-01,1.33
1999-01-01,1.34
1999-02-01,1.33
1999-03-01,1.32
1999-04-01,1.31
1999-05-01,1.29
1999-06-01,1.28
1999-07-01,1.29
1999-08-01,1.28
1999-09-01,1.28
