Contiguous U.S. December Average Temperature
Units: Degrees Fahrenheit
Base Period: 2015-2024
Missing: -99
Date,Value,Anomaly
201501,33.08,-0.11
201502,32.99,-2.88
201503,45.39,1.06
201504,53.22,1.18
201505,60.82,-0.63
201506,71.33,0.52
201507,73.89,-1.47
201508,72.91,-0.78
201509,68.50,1.03
201510,57.24,1.81
201511,44.58,0.66
201512,38.64,2.44
201601,32.22,-0.97
201602,39.47,3.60
201603,47.48,3.15
201604,53.19,1.15
201605,60.31,-1.14
201606,71.74,0.93
201607,75.20,-0.16
201608,73.51,-0.18
201609,67.10,-0.37
201610,57.70,2.27
201611,47.95,4.03
201612,32.95,-3.25
201701,33.57,0.38
201702,41.16,5.29
201703,46.13,1.80
201704,53.78,1.74
201705,60.55,-0.90
201706,70.32,-0.49
201707,75.69,0.33
201708,72.00,-1.69
201709,66.25,-1.22
201710,55.69,0.26
201711,45.03,1.11
201712,34.29,-1.91
201801,32.16,-1.03
201802,35.51,-0.36
201803,42.73,-1.60
201804,49.01,-3.03
201805,65.50,4.05
201806,71.53,0.72
201807,75.43,0.07
201808,73.49,-0.20
201809,67.51,0.04
201810,53.71,-1.72
201811,40.01,-3.91
201812,35.51,-0.69
201901,32.56,-0.63
201902,31.84,-4.03
201903,40.28,-4.05
201904,52.83,0.79
201905,59.49,-1.96
201906,68.70,-2.11
201907,74.59,-0.77
201908,73.72,0.03
201909,68.41,0.94
201910,52.03,-3.40
201911,41.09,-2.83
201912,36.43,0.23
202001,35.53,2.34
202002,36.16,0.29
202003,46.08,1.75
202004,50.86,-1.18
202005,60.89,-0.56
202006,70.27,-0.54
202007,75.63,0.27
202008,74.68,0.99
202009,65.89,-1.58
202010,54.28,-1.15
202011,46.31,2.39
202012,35.71,-0.49
202101,34.59,1.40
202102,30.61,-5.26
202103,45.52,1.19
202104,51.85,-0.19
202105,60.33,-1.12
202106,72.57,1.76
202107,75.40,0.04
202108,73.96,0.27
202109,67.78,0.31
202110,56.95,1.52
202111,45.07,1.15
202112,39.34,3.14
202201,31.17,-2.02
202202,33.66,-2.21
202203,44.08,-0.25
202204,50.67,-1.37
202205,61.92,0.47
202206,70.79,-0.02
202207,76.39,1.03
202208,74.59,0.90
202209,68.02,0.55
202210,55.18,-0.25
202211,40.96,-2.96
202212,33.12,-3.08
202301,35.11,1.92
202302,36.39,0.52
202303,40.57,-3.76
202304,51.31,-0.73
202305,62.38,0.93
202306,69.01,-1.80
202307,75.65,0.29
202308,74.35,0.66
202309,67.75,0.28
202310,56.05,0.62
202311,44.28,0.36
202312,39.81,3.61
202401,31.93,-1.26
202402,40.86,4.99
202403,45.00,0.67
202404,53.67,1.63
202405,62.29,0.84
202406,71.82,1.01
202407,75.70,0.34
