description,units,source key,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01
Number of customer accounts,number of customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,number of customers,ELEC.CUSTOMERS.US-ALL.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States : all sectors,number of customers,ELEC.CUSTOMERS.US-ALL.M,147916025,147499498,148656946,148387164,148054757,148728050,149282187,148559532,148915286,149215899,148543795,149835121,149158414,148962775,150354947,149340126,149976222,150311307,150065126,150433452,150428971,150360762,150333758,150936431,151095211,150454520,152072684,150949126,151783130,152126314,151550213,152318190,151661554,152408072,152355367,152578237,152693328,152176208,153249906,152768473,153586344,153409508,153368107,153986854,153229355,153939997,153615613,154042768,154427955,152787704,154726239,154494404,155068891,154672832,155192181,155347250,154957895,156053737,154991091,156056308,155662807,154862354,156217198,156156148,155927477,156609393,157378584,156671400,157002782,157214792,156588895,157983206,157172488,155863960,158789930,158167521,157963142,158929529,158919436,159066732,159137650,158702963,158372980,160111575,158858200,158766572,160644393,159340236,160010045,160432545,159928898,160950031,160582255,160688524,160567132,161168901,160517795,159862286,161412471,160040776,161235238,161420219,161130838,162239464,161461888,161947326,161586364,161945488,162505035,163714500,164267352,164525014,164942247
United States : residential,number of customers,ELEC.CUSTOMERS.US-RES.M,129177100,128836192,129858190,129607349,129550528,129833960,130322224,129696710,130004031,130277004,129722466,130854255,130327243,130114828,131333340,130452160,131002108,131282771,131086905,131346501,131374997,131318899,131325418,131859453,131977307,131437253,132851616,131902166,132559481,132866506,132345053,133013535,132461398,133126174,133093866,133321574,133302446,132923513,133852602,133417773,134121801,133935311,133883159,134433813,133791062,134377594,134155451,134524109,134845133,133333741,135170833,134920415,135405612,135074042,135468046,135635335,135291081,136260010,135340521,136250376,135882652,135215196,136372119,136344191,136178906,136740348,137441000,136834443,137124272,137301842,136773523,137973904,137260791,136159824,138704308,138082070,137887032,138706123,138712738,138846236,138912493,138487361,138224422,139720469,138694350,138676166,140257849,139134445,139712967,140050386,139632048,140549888,140218329,140334114,140228398,140760019,140164131,139617537,140965719,139829776,140797811,140961861,140715232,141687125,141011704,141452573,141171614,141496756,142003520,143158375,143653733,143880293,144231722
United States : commercial,number of customers,ELEC.CUSTOMERS.US-COM.M,17924312,17854428,17975571,17955904,17675632,18042403,18099332,18013711,18059742,18087524,17995604,18142822,18001806,18022657,18185531,18064005,18133949,18174804,18130289,18227261,18207555,18203386,18183746,18244491,18289356,18199541,18384031,18225046,18375746,18402963,18354033,18437269,18354295,18435264,18430836,18423574,18552003,18440673,18574947,18526543,18613438,18615355,18623955,18686099,18594023,18717481,18636211,18682871,18650138,18539519,18635772,18640407,18708360,18637617,18735687,18728398,18691319,18821137,18705003,18836882,18806506,18691075,18871191,18827108,18763333,18861854,18916992,18827402,18867545,18919047,18836665,18995400,18915626,18722180,19074182,19071189,19061795,19185294,19172792,19174446,19181762,19194629,19127343,19345225,19145510,19081239,19352519,19174040,19248194,19313913,19233742,19319344,19290292,19294667,19291427,19343829,19293282,19192844,19378911,19155834,19353055,19366091,19330035,19448125,19362932,19413832,19347416,19367884,19427758,19490303,19533175,19547674,19598201
United States : industrial,number of customers,ELEC.CUSTOMERS.US-IND.M,814536,808801,823107,823833,828518,851608,860552,849033,851435,851293,825647,837966,829287,825209,835990,823879,840080,853646,847849,859607,846336,838393,824510,832403,828464,817642,836953,821828,847817,856760,851042,867301,845776,846549,830580,833004,838797,811940,822275,824075,851023,858759,860910,866859,844187,844839,823868,835705,932601,914361,919551,933498,954838,961090,988365,983435,975412,972507,945483,968966,973566,956000,973805,984766,985155,1007108,1020510,1009473,1010883,993821,978625,1013820,995987,981871,1011356,1014178,1014231,1038032,1033826,1045969,1043313,1020891,1021133,1045799,1018257,1009083,1033938,1031667,1048800,1068161,1063023,1080715,1073550,1059659,1047225,1064970,1060301,1051825,1067760,1055085,1084292,1092186,1085489,1104132,1087170,1080839,1067252,1080766,1073675,1065741,1080363,1096969,1112243
United States : transportation,number of customers,ELEC.CUSTOMERS.US-TRA.M,77,77,78,78,79,79,79,78,78,78,78,78,78,81,86,82,85,86,83,83,83,84,84,84,84,84,84,86,86,85,85,85,85,85,85,85,82,82,82,82,82,83,83,83,83,83,83,83,83,83,83,84,81,83,83,82,83,83,84,84,83,83,83,83,83,83,82,82,82,82,82,82,84,85,84,84,84,80,80,81,82,82,82,82,83,84,87,84,84,85,85,84,84,84,82,83,81,80,81,81,80,81,82,82,82,82,82,82,82,81,81,78,81
United States : other,number of customers,ELEC.CUSTOMERS.US-OTH.M,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
New England,number of customers,ELEC.CUSTOMERS.NEW-ALL.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New England : all sectors,number of customers,ELEC.CUSTOMERS.NEW-ALL.M,7217553,7222032,7216794,7215077,7190221,7248459,7225089,7222559,7235355,7232607,7218840,7251695,7148135,7165604,7236928,7154849,7219551,7189444,7189829,7203373,7226408,7166048,7200656,7194463,7235750,7196831,7277955,7248475,7255945,7293498,7263847,7220864,7246267,7210164,7286740,7226774,7274343,7238240,7241904,7250658,7327201,7258871,7321225,7307941,7282334,7306000,7288442,7316454,7306699,7232114,7352880,7281174,7319868,7306398,7361800,7409684,7311982,7340148,7333637,7341838,7397303,7272503,7365126,7375279,7356915,7386985,7395343,7393776,7358772,7404361,7306575,7347630,7419649,7369222,7446855,7433046,7424300,7484235,7411565,7474840,7438545,7392177,7478798,7466586,7493871,7456884,7525320,7387363,7510741,7519352,7492380,7728906,7578783,7526236,7508852,7470523,7541097,7510702,7502658,7418676,7535659,7538612,7519227,7546862,7501415,7589962,7569463,7529437,7570168,7622277,7654608,7586198,7585289
