"DATE","VALUE"
"2015-01-01 00:00:00","186.03"
"2015-02-01 00:00:00","177.11"
"2015-03-01 00:00:00","161.23"
"2015-04-01 00:00:00","138.92"
"2015-05-01 00:00:00","158.66"
"2015-06-01 00:00:00","189.48"
"2015-07-01 00:00:00","213.22"
"2015-08-01 00:00:00","207.75"
"2015-09-01 00:00:00","182.92"
"2015-10-01 00:00:00","155.45"
"2015-11-01 00:00:00","142.37"
"2015-12-01 00:00:00","148.92"
"2016-01-01 00:00:00","172.11"
"2016-02-01 00:00:00","145.89"
"2016-03-01 00:00:00","129.25"
"2016-04-01 00:00:00","126.29"
"2016-05-01 00:00:00","141.79"
"2016-06-01 00:00:00","185.63"
"2016-07-01 00:00:00","216.08"
"2016-08-01 00:00:00","217.07"
"2016-09-01 00:00:00","180.49"
"2016-10-01 00:00:00","153.9"
"2016-11-01 00:00:00","137.71"
"2016-12-01 00:00:00","169.55"
"2017-01-01 00:00:00","165.81"
"2017-02-01 00:00:00","131.37"
"2017-03-01 00:00:00","140.95"
"2017-04-01 00:00:00","129.55"
"2017-05-01 00:00:00","145.87"
"2017-06-01 00:00:00","170.16"
"2017-07-01 00:00:00","205.31"
"2017-08-01 00:00:00","194.4"
"2017-09-01 00:00:00","161.31"
"2017-10-01 00:00:00","147.27"
"2017-11-01 00:00:00","142.02"
"2017-12-01 00:00:00","166.64"
"2018-01-01 00:00:00","180.72"
"2018-02-01 00:00:00","135.46"
"2018-03-01 00:00:00","138.81"
"2018-04-01 00:00:00","127.38"
"2018-05-01 00:00:00","148.14"
"2018-06-01 00:00:00","171.94"
"2018-07-01 00:00:00","203.28"
"2018-08-01 00:00:00","201.46"
"2018-09-01 00:00:00","172.6"
"2018-10-01 00:00:00","153.7"
"2018-11-01 00:00:00","150.98"
"2018-12-01 00:00:00","159.13"
"2019-01-01 00:00:00","166.38"
"2019-02-01 00:00:00","140.54"
"2019-03-01 00:00:00","141.48"
"2019-04-01 00:00:00","117.5"
"2019-05-01 00:00:00","136.3"
"2019-06-01 00:00:00","153.71"
"2019-07-01 00:00:00","193.39"
"2019-08-01 00:00:00","188.58"
"2019-09-01 00:00:00","166.67"
"2019-10-01 00:00:00","138.4"
"2019-11-01 00:00:00","139.67"
"2019-12-01 00:00:00","144.61"
"2020-01-01 00:00:00","139.84"
"2020-02-01 00:00:00","126.8"
"2020-03-01 00:00:00","120.6"
"2020-04-01 00:00:00","102.39"
"2020-05-01 00:00:00","111.96"
"2020-06-01 00:00:00","143.61"
"2020-07-01 00:00:00","187.67"
"2020-08-01 00:00:00","184.79"
"2020-09-01 00:00:00","145.38"
"2020-10-01 00:00:00","131.88"
"2020-11-01 00:00:00","121.57"
"2020-12-01 00:00:00","148.07"
"2021-01-01 00:00:00","150.06"
"2021-02-01 00:00:00","147.63"
"2021-03-01 00:00:00","121.12"
"2021-04-01 00:00:00","113.66"
"2021-05-01 00:00:00","127.29"
"2021-06-01 00:00:00","168.22"
"2021-07-01 00:00:00","192.95"
"2021-08-01 00:00:00","194.83"
"2021-09-01 00:00:00","154.01"
"2021-10-01 00:00:00","134.96"
"2021-11-01 00:00:00","124.88"
"2021-12-01 00:00:00","130.44"
"2022-01-01 00:00:00","162.17"
"2022-02-01 00:00:00","133.94"
"2022-03-01 00:00:00","123.55"
"2022-04-01 00:00:00","114.13"
"2022-05-01 00:00:00","132.96"
"2022-06-01 00:00:00","158.69"
"2022-07-01 00:00:00","189.19"
"2022-08-01 00:00:00","187.59"
"2022-09-01 00:00:00","150.87"
"2022-10-01 00:00:00","127.85"
"2022-11-01 00:00:00","126.65"
"2022-12-01 00:00:00","151.62"
"2023-01-01 00:00:00","137.08"
"2023-02-01 00:00:00","115.46"
"2023-03-01 00:00:00","123.53"
"2023-04-01 00:00:00","107.38"
"2023-05-01 00:00:00","120.92"
"2023-06-01 00:00:00","146.78"
"2023-07-01 00:00:00","188.27"
"2023-08-01 00:00:00","187.17"
"2023-09-01 00:00:00","150.66"
"2023-10-01 00:00:00","128.93"
"2023-11-01 00:00:00","126.04"
"2023-12-01 00:00:00","136.81"
