"date","total_fossil"
"2015-01-01","238361"
"2015-02-01","225763"
"2015-03-01","210907"
"2015-04-01","184552"
"2015-05-01","209248"
"2015-06-01","250220"
"2015-07-01","283880"
"2015-08-01","277215"
"2015-09-01","244341"
"2015-10-01","209547"
"2015-11-01","192208"
"2015-12-01","202194"
"2016-01-01","227060"
"2016-02-01","194664"
"2016-03-01","179104"
"2016-04-01","174058"
"2016-05-01","195225"
"2016-06-01","250577"
"2016-07-01","291431"
"2016-08-01","293961"
"2016-09-01","242767"
"2016-10-01","204577"
"2016-11-01","183773"
"2016-12-01","218235"
"2017-01-01","214087"
"2017-02-01","172229"
"2017-03-01","187294"
"2017-04-01","172189"
"2017-05-01","193724"
"2017-06-01","227744"
"2017-07-01","277596"
"2017-08-01","263662"
"2017-09-01","219036"
"2017-10-01","199214"
"2017-11-01","188729"
"2017-12-01","221888"
"2018-01-01","237343"
"2018-02-01","183375"
"2018-03-01","189998"
"2018-04-01","174655"
"2018-05-01","203516"
"2018-06-01","235580"
"2018-07-01","283524"
"2018-08-01","280357"
"2018-09-01","241587"
"2018-10-01","213137"
"2018-11-01","203791"
"2018-12-01","213155"
"2019-01-01","225951"
"2019-02-01","194781"
"2019-03-01","196887"
"2019-04-01","166402"
"2019-05-01","191910"
"2019-06-01","219156"
"2019-07-01","276033"
"2019-08-01","272188"
"2019-09-01","238261"
"2019-10-01","199956"
"2019-11-01","195787"
"2019-12-01","207112"
"2020-01-01","203927"
"2020-02-01","186660"
"2020-03-01","179360"
"2020-04-01","153281"
"2020-05-01","165898"
"2020-06-01","210824"
"2020-07-01","273965"
"2020-08-01","267557"
"2020-09-01","212011"
"2020-10-01","193363"
"2020-11-01","173355"
"2020-12-01","209141"
"2021-01-01","210443"
"2021-02-01","201722"
"2021-03-01","171219"
"2021-04-01","163467"
"2021-05-01","180832"
"2021-06-01","239000"
"2021-07-01","274336"
"2021-08-01","277546"
"2021-09-01","219663"
"2021-10-01","197035"
"2021-11-01","182400"
"2021-12-01","190100"
"2022-01-01","227210"
"2022-02-01","188532"
"2022-03-01","175908"
"2022-04-01","163033"
"2022-05-01","192092"
"2022-06-01","231547"
"2022-07-01","278073"
"2022-08-01","276660"
"2022-09-01","224523"
"2022-10-01","190250"
"2022-11-01","186290"
"2022-12-01","219115"
"2023-01-01","201391"
"2023-02-01","172792"
"2023-03-01","184524"
"2023-04-01","162346"
"2023-05-01","183653"
"2023-06-01","221710"
"2023-07-01","282339"
"2023-08-01","281024"
"2023-09-01","227912"
"2023-10-01","194117"
"2023-11-01","188656"
"2023-12-01","204784"
"2024-01-01","238951"
"2024-02-01","176799"
"2024-03-01","170472"
