"Area","Date","Variable","Unit","VALUE","Ember_region"
"United States of America","2015-01-01","Total emissions","mtCO2","186.03","North America"
"United States of America","2015-02-01","Total emissions","mtCO2","177.11","North America"
"United States of America","2015-03-01","Total emissions","mtCO2","161.23","North America"
"United States of America","2015-04-01","Total emissions","mtCO2","138.92","North America"
"United States of America","2015-05-01","Total emissions","mtCO2","158.66","North America"
"United States of America","2015-06-01","Total emissions","mtCO2","189.48","North America"
"United States of America","2015-07-01","Total emissions","mtCO2","213.22","North America"
"United States of America","2015-08-01","Total emissions","mtCO2","207.75","North America"
"United States of America","2015-09-01","Total emissions","mtCO2","182.92","North America"
"United States of America","2015-10-01","Total emissions","mtCO2","155.45","North America"
"United States of America","2015-11-01","Total emissions","mtCO2","142.37","North America"
"United States of America","2015-12-01","Total emissions","mtCO2","148.92","North America"
"United States of America","2016-01-01","Total emissions","mtCO2","172.11","North America"
"United States of America","2016-02-01","Total emissions","mtCO2","145.89","North America"
"United States of America","2016-03-01","Total emissions","mtCO2","129.25","North America"
"United States of America","2016-04-01","Total emissions","mtCO2","126.29","North America"
"United States of America","2016-05-01","Total emissions","mtCO2","141.79","North America"
"United States of America","2016-06-01","Total emissions","mtCO2","185.63","North America"
"United States of America","2016-07-01","Total emissions","mtCO2","216.08","North America"
"United States of America","2016-08-01","Total emissions","mtCO2","217.07","North America"
"United States of America","2016-09-01","Total emissions","mtCO2","180.49","North America"
"United States of America","2016-10-01","Total emissions","mtCO2","153.9","North America"
"United States of America","2016-11-01","Total emissions","mtCO2","137.71","North America"
"United States of America","2016-12-01","Total emissions","mtCO2","169.55","North America"
"United States of America","2017-01-01","Total emissions","mtCO2","165.81","North America"
"United States of America","2017-02-01","Total emissions","mtCO2","131.37","North America"
"United States of America","2017-03-01","Total emissions","mtCO2","140.95","North America"
"United States of America","2017-04-01","Total emissions","mtCO2","129.55","North America"
"United States of America","2017-05-01","Total emissions","mtCO2","145.87","North America"
"United States of America","2017-06-01","Total emissions","mtCO2","170.16","North America"
"United States of America","2017-07-01","Total emissions","mtCO2","205.31","North America"
"United States of America","2017-08-01","Total emissions","mtCO2","194.4","North America"
"United States of America","2017-09-01","Total emissions","mtCO2","161.31","North America"
"United States of America","2017-10-01","Total emissions","mtCO2","147.27","North America"
"United States of America","2017-11-01","Total emissions","mtCO2","142.02","North America"
"United States of America","2017-12-01","Total emissions","mtCO2","166.64","North America"
"United States of America","2018-01-01","Total emissions","mtCO2","180.72","North America"
"United States of America","2018-02-01","Total emissions","mtCO2","135.46","North America"
"United States of America","2018-03-01","Total emissions","mtCO2","138.81","North America"
"United States of America","2018-04-01","Total emissions","mtCO2","127.38","North America"
"United States of America","2018-05-01","Total emissions","mtCO2","148.14","North America"
"United States of America","2018-06-01","Total emissions","mtCO2","171.94","North America"
"United States of America","2018-07-01","Total emissions","mtCO2","203.28","North America"
"United States of America","2018-08-01","Total emissions","mtCO2","201.46","North America"
"United States of America","2018-09-01","Total emissions","mtCO2","172.6","North America"
"United States of America","2018-10-01","Total emissions","mtCO2","153.7","North America"
"United States of America","2018-11-01","Total emissions","mtCO2","150.98","North America"
"United States of America","2018-12-01","Total emissions","mtCO2","159.13","North America"
"United States of America","2019-01-01","Total emissions","mtCO2","166.38","North America"
"United States of America","2019-02-01","Total emissions","mtCO2","140.54","North America"
"United States of America","2019-03-01","Total emissions","mtCO2","141.48","North America"
"United States of America","2019-04-01","Total emissions","mtCO2","117.5","North America"
"United States of America","2019-05-01","Total emissions","mtCO2","136.3","North America"
"United States of America","2019-06-01","Total emissions","mtCO2","153.71","North America"
"United States of America","2019-07-01","Total emissions","mtCO2","193.39","North America"
"United States of America","2019-08-01","Total emissions","mtCO2","188.58","North America"
"United States of America","2019-09-01","Total emissions","mtCO2","166.67","North America"
"United States of America","2019-10-01","Total emissions","mtCO2","138.4","North America"
"United States of America","2019-11-01","Total emissions","mtCO2","139.67","North America"
"United States of America","2019-12-01","Total emissions","mtCO2","144.61","North America"
"United States of America","2020-01-01","Total emissions","mtCO2","139.84","North America"
"United States of America","2020-02-01","Total emissions","mtCO2","126.8","North America"
"United States of America","2020-03-01","Total emissions","mtCO2","120.6","North America"
"United States of America","2020-04-01","Total emissions","mtCO2","102.39","North America"
"United States of America","2020-05-01","Total emissions","mtCO2","111.96","North America"
"United States of America","2020-06-01","Total emissions","mtCO2","143.61","North America"
"United States of America","2020-07-01","Total emissions","mtCO2","187.67","North America"
"United States of America","2020-08-01","Total emissions","mtCO2","184.79","North America"
"United States of America","2020-09-01","Total emissions","mtCO2","145.38","North America"
"United States of America","2020-10-01","Total emissions","mtCO2","131.88","North America"
"United States of America","2020-11-01","Total emissions","mtCO2","121.57","North America"
"United States of America","2020-12-01","Total emissions","mtCO2","148.07","North America"
"United States of America","2021-01-01","Total emissions","mtCO2","150.06","North America"
"United States of America","2021-02-01","Total emissions","mtCO2","147.63","North America"
"United States of America","2021-03-01","Total emissions","mtCO2","121.12","North America"
"United States of America","2021-04-01","Total emissions","mtCO2","113.66","North America"
"United States of America","2021-05-01","Total emissions","mtCO2","127.29","North America"
"United States of America","2021-06-01","Total emissions","mtCO2","168.22","North America"
"United States of America","2021-07-01","Total emissions","mtCO2","192.95","North America"
"United States of America","2021-08-01","Total emissions","mtCO2","194.83","North America"
"United States of America","2021-09-01","Total emissions","mtCO2","154.01","North America"
"United States of America","2021-10-01","Total emissions","mtCO2","134.96","North America"
"United States of America","2021-11-01","Total emissions","mtCO2","124.88","North America"
"United States of America","2021-12-01","Total emissions","mtCO2","130.44","North America"
"United States of America","2022-01-01","Total emissions","mtCO2","162.17","North America"
"United States of America","2022-02-01","Total emissions","mtCO2","133.94","North America"
