"Date","Value","Anomaly"
"2015-01-01","33.08","-0.11"
"2015-02-01","32.99","-2.88"
"2015-03-01","45.39","1.06"
"2015-04-01","53.22","1.18"
"2015-05-01","60.82","-0.63"
"2015-06-01","71.33","0.52"
"2015-07-01","73.89","-1.47"
"2015-08-01","72.91","-0.78"
"2015-09-01","68.5","1.03"
"2015-10-01","57.24","1.81"
"2015-11-01","44.58","0.66"
"2015-12-01","38.64","2.44"
"2016-01-01","32.22","-0.97"
"2016-02-01","39.47","3.6"
"2016-03-01","47.48","3.15"
"2016-04-01","53.19","1.15"
"2016-05-01","60.31","-1.14"
"2016-06-01","71.74","0.93"
"2016-07-01","75.2","-0.16"
"2016-08-01","73.51","-0.18"
"2016-09-01","67.1","-0.37"
"2016-10-01","57.7","2.27"
"2016-11-01","47.95","4.03"
"2016-12-01","32.95","-3.25"
"2017-01-01","33.57","0.38"
"2017-02-01","41.16","5.29"
"2017-03-01","46.13","1.8"
"2017-04-01","53.78","1.74"
"2017-05-01","60.55","-0.9"
"2017-06-01","70.32","-0.49"
"2017-07-01","75.69","0.33"
"2017-08-01","72","-1.69"
"2017-09-01","66.25","-1.22"
"2017-10-01","55.69","0.26"
"2017-11-01","45.03","1.11"
"2017-12-01","34.29","-1.91"
"2018-01-01","32.16","-1.03"
"2018-02-01","35.51","-0.36"
"2018-03-01","42.73","-1.6"
"2018-04-01","49.01","-3.03"
"2018-05-01","65.5","4.05"
"2018-06-01","71.53","0.72"
"2018-07-01","75.43","0.07"
"2018-08-01","73.49","-0.2"
"2018-09-01","67.51","0.04"
"2018-10-01","53.71","-1.72"
"2018-11-01","40.01","-3.91"
"2018-12-01","35.51","-0.69"
"2019-01-01","32.56","-0.63"
"2019-02-01","31.84","-4.03"
"2019-03-01","40.28","-4.05"
"2019-04-01","52.83","0.79"
"2019-05-01","59.49","-1.96"
"2019-06-01","68.7","-2.11"
"2019-07-01","74.59","-0.77"
"2019-08-01","73.72","0.03"
"2019-09-01","68.41","0.94"
"2019-10-01","52.03","-3.4"
"2019-11-01","41.09","-2.83"
"2019-12-01","36.43","0.23"
"2020-01-01","35.53","2.34"
"2020-02-01","36.16","0.29"
"2020-03-01","46.08","1.75"
"2020-04-01","50.86","-1.18"
"2020-05-01","60.89","-0.56"
"2020-06-01","70.27","-0.54"
"2020-07-01","75.63","0.27"
"2020-08-01","74.68","0.99"
"2020-09-01","65.89","-1.58"
"2020-10-01","54.28","-1.15"
"2020-11-01","46.31","2.39"
"2020-12-01","35.71","-0.49"
"2021-01-01","34.59","1.4"
"2021-02-01","30.61","-5.26"
"2021-03-01","45.52","1.19"
"2021-04-01","51.85","-0.19"
"2021-05-01","60.33","-1.12"
"2021-06-01","72.57","1.76"
"2021-07-01","75.4","0.04"
"2021-08-01","73.96","0.27"
"2021-09-01","67.78","0.31"
"2021-10-01","56.95","1.52"
"2021-11-01","45.07","1.15"
"2021-12-01","39.34","3.14"
"2022-01-01","31.17","-2.02"
"2022-02-01","33.66","-2.21"
"2022-03-01","44.08","-0.25"
"2022-04-01","50.67","-1.37"
"2022-05-01","61.92","0.47"
"2022-06-01","70.79","-0.02"
"2022-07-01","76.39","1.03"
"2022-08-01","74.59","0.9"
"2022-09-01","68.02","0.55"
"2022-10-01","55.18","-0.25"
"2022-11-01","40.96","-2.96"
"2022-12-01","33.12","-3.08"
"2023-01-01","35.11","1.92"
"2023-02-01","36.39","0.52"
"2023-03-01","40.57","-3.76"
"2023-04-01","51.31","-0.73"
"2023-05-01","62.38","0.93"
"2023-06-01","69.01","-1.8"
"2023-07-01","75.65","0.29"
"2023-08-01","74.35","0.66"
"2023-09-01","67.75","0.28"
"2023-10-01","56.05","0.62"
"2023-11-01","44.28","0.36"
"2023-12-01","39.81","3.61"
"2024-01-01","31.93","-1.26"
"2024-02-01","40.86","4.99"
"2024-03-01","45","0.67"
"2024-04-01","53.67","1.63"
"2024-05-01","62.29","0.84"
"2024-06-01","71.82","1.01"
"2024-07-01","75.7","0.34"
