"description","units","source_key","2015-01-01","2015-02-01","2015-03-01","2015-04-01","2015-05-01","2015-06-01","2015-07-01","2015-08-01","2015-09-01","2015-10-01","2015-11-01","2015-12-01","2016-01-01","2016-02-01","2016-03-01","2016-04-01","2016-05-01","2016-06-01","2016-07-01","2016-08-01","2016-09-01","2016-10-01","2016-11-01","2016-12-01","2017-01-01","2017-02-01","2017-03-01","2017-04-01","2017-05-01","2017-06-01","2017-07-01","2017-08-01","2017-09-01","2017-10-01","2017-11-01","2017-12-01","2018-01-01","2018-02-01","2018-03-01","2018-04-01","2018-05-01","2018-06-01","2018-07-01","2018-08-01","2018-09-01","2018-10-01","2018-11-01","2018-12-01","2019-01-01","2019-02-01","2019-03-01","2019-04-01","2019-05-01","2019-06-01","2019-07-01","2019-08-01","2019-09-01","2019-10-01","2019-11-01","2019-12-01","2020-01-01","2020-02-01","2020-03-01","2020-04-01","2020-05-01","2020-06-01","2020-07-01","2020-08-01","2020-09-01","2020-10-01","2020-11-01","2020-12-01","2021-01-01","2021-02-01","2021-03-01","2021-04-01","2021-05-01","2021-06-01","2021-07-01","2021-08-01","2021-09-01","2021-10-01","2021-11-01","2021-12-01","2022-01-01","2022-02-01","2022-03-01","2022-04-01","2022-05-01","2022-06-01","2022-07-01","2022-08-01","2022-09-01","2022-10-01","2022-11-01","2022-12-01","2023-01-01","2023-02-01","2023-03-01","2023-04-01","2023-05-01","2023-06-01","2023-07-01","2023-08-01","2023-09-01","2023-10-01","2023-11-01","2023-12-01","2024-01-01","2024-02-01","2024-03-01"
"Number of customer accounts","number of customers",\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0
"United States","number of customers","ELEC.CUSTOMERS.US-ALL.M",\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0
"United States : all sectors","number of customers","ELEC.CUSTOMERS.US-ALL.M","147916000","147500000","148657000","148387000","148055000","148728000","149282000","148560000","148915000","149216000","148544000","149835000","149158000","148963000","150355000","149340000","149976000","150311000","150065000","150433000","150429000","150361000","150334000","150936000","151095000","150455000","152073000","150949000","151783000","152126000","151550000","152318000","151662000","152408000","152355000","152578000","152693000","152176000","153250000","152768000","153586000","153410000","153368000","153987000","153229000","153940000","153616000","154043000","154428000","152788000","154726000","154494000","155069000","154673000","155192000","155347000","154958000","156054000","154991000","156056000","155663000","154862000","156217000","156156000","155927000","156609000","157379000","156671000","157003000","157215000","156589000","157983000","157172000","155864000","158790000","158168000","157963000","158930000","158919000","159067000","159138000","158703000","158373000","160112000","158858000","158767000","160644000","159340000","160010000","160433000","159929000","160950000","160582000","160689000","160567000","161169000","160518000","159862000","161412000","160041000","161235000","161420000","161131000","162239000","161462000","161947000","161586000","161945000","162505000","163714000","164267000"
"United States : residential","number of customers","ELEC.CUSTOMERS.US-RES.M","129177000","128836000","129858000","129607000","129551000","129834000","130322000","129697000","130004000","130277000","129722000","130854000","130327000","130115000","131333000","130452000","131002000","131283000","131087000","131347000","131375000","131319000","131325000","131859000","131977000","131437000","132852000","131902000","132559000","132867000","132345000","133014000","132461000","133126000","133094000","133322000","133302000","132924000","133853000","133418000","134122000","133935000","133883000","134434000","133791000","134378000","134155000","134524000","134845000","133334000","135171000","134920000","135406000","135074000","135468000","135635000","135291000","136260000","135341000","136250000","135883000","135215000","136372000","136344000","136179000","136740000","137441000","136834000","137124000","137302000","136774000","137974000","137261000","136160000","138704000","138082000","137887000","138706000","138713000","138846000","138912000","138487000","138224000","139720000","138694000","138676000","140258000","139134000","139713000","140050000","139632000","140550000","140218000","140334000","140228000","140760000","140164000","139618000","140966000","139830000","140798000","140962000","140715000","141687000","141012000","141453000","141172000","141497000","142004000","143158000","143654000"
"United States : commercial","number of customers","ELEC.CUSTOMERS.US-COM.M","17924300","17854400","17975600","17955900","17675600","18042400","18099300","18013700","18059700","18087500","17995600","18142800","18001800","18022700","18185500","18064000","18133900","18174800","18130300","18227300","18207600","18203400","18183700","18244500","18289400","18199500","18384000","18225000","18375700","18403000","18354000","18437300","18354300","18435300","18430800","18423600","18552000","18440700","18574900","18526500","18613400","18615400","18624000","18686100","18594000","18717500","18636200","18682900","18650100","18539500","18635800","18640400","18708400","18637600","18735700","18728400","18691300","18821100","18705000","18836900","18806500","18691100","18871200","18827100","18763300","18861900","18917000","18827400","18867500","18919000","18836700","18995400","18915600","18722200","19074200","19071200","19061800","19185300","19172800","19174400","19181800","19194600","19127300","19345200","19145500","19081200","19352500","19174000","19248200","19313900","19233700","19319300","19290300","19294700","19291400","19343800","19293300","19192800","19378900","19155800","19353100","19366100","19330000","19448100","19362900","19413800","19347400","19367900","19427800","19490300","19533200"
"United States : industrial","number of customers","ELEC.CUSTOMERS.US-IND.M","814536","808801","823107","823833","828518","851608","860552","849033","851435","851293","825647","837966","829287","825209","835990","823879","840080","853646","847849","859607","846336","838393","824510","832403","828464","817642","836953","821828","847817","856760","851042","867301","845776","846549","830580","833004","838797","811940","822275","824075","851023","858759","860910","866859","844187","844839","823868","835705","932601","914361","919551","933498","954838","961090","988365","983435","975412","972507","945483","968966","973566","956000","973805","984766","985155","1007110","1020510","1009470","1010880","993821","978625","1013820","995987","981871","1011360","1014180","1014230","1038030","1033830","1045970","1043310","1020890","1021130","1045800","1018260","1009080","1033940","1031670","1048800","1068160","1063020","1080720","1073550","1059660","1047220","1064970","1060300","1051820","1067760","1055080","1084290","1092190","1085490","1104130","1087170","1080840","1067250","1080770","1073680","1065740","1080360"
"United States : transportation","number of customers","ELEC.CUSTOMERS.US-TRA.M","77","77","78","78","79","79","79","78","78","78","78","78","78","81","86","82","85","86","83","83","83","84","84","84","84","84","84","86","86","85","85","85","85","85","85","85","82","82","82","82","82","83","83","83","83","83","83","83","83","83","83","84","81","83","83","82","83","83","84","84","83","83","83","83","83","83","82","82","82","82","82","82","84","85","84","84","84","80","80","81","82","82","82","82","83","84","87","84","84","85","85","84","84","84","82","83","81","80","81","81","80","81","82","82","82","82","82","82","82","81","81"
"United States : other","number of customers","ELEC.CUSTOMERS.US-OTH.M",\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0
"New England","number of customers","ELEC.CUSTOMERS.NEW-ALL.M",\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0,\0
"New England : all sectors","number of customers","ELEC.CUSTOMERS.NEW-ALL.M","7217550","7222030","7216790","7215080","7190220","7248460","7225090","7222560","7235360","7232610","7218840","7251700","7148140","7165600","7236930","7154850","7219550","7189440","7189830","7203370","7226410","7166050","7200660","7194460","7235750","7196830","7277960","7248480","7255940","7293500","7263850","7220860","7246270","7210160","7286740","7226770","7274340","7238240","7241900","7250660","7327200","7258870","7321220","7307940","7282330","7306000","7288440","7316450","7306700","7232110","7352880","7281170","7319870","7306400","7361800","7409680","7311980","7340150","7333640","7341840","7397300","7272500","7365130","7375280","7356920","7386980","7395340","7393780","7358770","7404360","7306580","7347630","7419650","7369220","7446860","7433050","7424300","7484240","7411560","7474840","7438540","7392180","7478800","7466590","7493870","7456880","7525320","7387360","7510740","7519350","7492380","7728910","7578780","7526240","7508850","7470520","7541100","7510700","7502660","7418680","7535660","7538610","7519230","7546860","7501420","7589960","7569460","7529440","7570170","7622280","7654610"
